level,section,row,seat,zone,zone_id,price,map_x,map_y,seat_type,aisle,view_image_id,tessitura_seat,seat_id
orchestra,orchestra,C,103,Orchestra Premium,5058,351.0,999.46,919.65,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173408,6583820d-ee26-4390-9155-2e13789aae2c
orchestra,orchestra,C,105,Orchestra Premium,5058,351.0,1027.77,921.04,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173409,3e19a707-13b4-4ab3-8d74-69bd70292690
orchestra,orchestra,C,107,Orchestra Premium,5058,351.0,1056.05,922.21,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173410,a1409493-326e-4bba-93b9-d25cef0077b8
orchestra,orchestra,C,109,Orchestra Premium,5058,351.0,1084.32,923.94,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173411,1772d9f5-5ead-4a46-b45f-a19e2d3fdcbf
orchestra,orchestra,C,111,Orchestra Premium,5058,351.0,1112.55,925.89,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173412,efcdd64e-a06a-4db6-bf24-03578dba15ec
orchestra,orchestra,C,113,Orchestra Premium,5058,351.0,1140.76,928.14,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173413,9071e465-3f17-43e1-964b-832874059e7f
orchestra,orchestra,C,115,Orchestra Premium,5058,351.0,1168.94,931.17,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173414,9b0fd51e-3d43-49d2-8839-0339e7fcd95d
orchestra,orchestra,C,117,Orchestra Premium,5058,351.0,1197.1,934.46,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173415,2968a170-490c-44a5-929b-e6be2b58ad7b
orchestra,orchestra,C,119,Orchestra Premium,5058,351.0,1225.23,938.02,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173416,03930a15-cf18-4fde-bb84-e78b869ae460
orchestra,orchestra,C,121,Orchestra Premium,5058,351.0,1253.32,941.86,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173417,9e8f4fc1-77dd-480f-a0c9-edf69886583b
orchestra,orchestra,C,123,Orchestra Premium,5058,351.0,1281.39,946.97,17,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,173418,564888fa-6d99-4cfc-8df2-129f1010fd55
